PurchaseOrderID,SupplierID,EmployeeID,ShippingMethodID,OrderDate,Año,Mes,Dia,Mes/Año
106,1,6,2,2004-07-27,2004,7,27,7/2004
107,1,6,2,2004-07-31,2004,7,31,7/2004
108,1,6,2,2004-09-04,2004,9,4,9/2004
111,1,6,2,2004-09-07,2004,9,7,9/2004
112,1,6,2,2004-09-08,2004,9,8,9/2004
113,1,6,2,2004-08-25,2004,8,25,8/2004
115,1,6,2,2004-09-04,2004,9,4,9/2004
116,1,6,2,2004-08-28,2004,8,28,8/2004
117,1,6,2,2004-09-17,2004,9,17,9/2004
118,1,6,2,2004-09-08,2004,9,8,9/2004
119,1,6,2,2004-09-08,2004,9,8,9/2004
120,1,6,2,2004-09-28,2004,9,28,9/2004
121,1,6,2,2004-09-23,2004,9,23,9/2004
123,1,6,2,2004-10-09,2004,10,9,10/2004
126,1,6,2,2004-10-13,2004,10,13,10/2004
127,1,6,2,2004-10-26,2004,10,26,10/2004
128,1,6,2,2004-10-09,2004,10,9,10/2004
129,1,6,2,2004-10-16,2004,10,16,10/2004
130,1,6,2,2004-11-02,2004,11,2,11/2004
131,1,6,2,2004-10-15,2004,10,15,10/2004
133,1,6,2,2004-11-04,2004,11,4,11/2004
134,1,6,2,2004-09-01,2004,9,1,9/2004
135,1,6,2,2004-09-24,2004,9,24,9/2004
136,1,6,2,2004-10-27,2004,10,27,10/2004
137,1,6,2,2004-09-23,2004,9,23,9/2004
138,1,6,2,2004-11-12,2004,11,12,11/2004
140,1,6,2,2004-11-24,2004,11,24,11/2004
141,1,6,2,2004-11-02,2004,11,2,11/2004
142,1,6,2,2004-11-02,2004,11,2,11/2004
143,1,6,2,2004-11-10,2004,11,10,11/2004
144,1,6,2,2004-11-11,2004,11,11,11/2004
145,1,6,2,2004-11-19,2004,11,19,11/2004
146,1,6,2,2004-11-18,2004,11,18,11/2004
147,1,6,2,2004-11-25,2004,11,25,11/2004
148,1,6,2,2004-11-18,2004,11,18,11/2004
150,2,6,2,2004-12-15,2004,12,15,12/2004
151,1,6,2,2004-11-23,2004,11,23,11/2004
152,1,6,2,2004-11-24,2004,11,24,11/2004
153,1,6,2,2004-11-27,2004,11,27,11/2004
154,1,6,2,2004-11-24,2004,11,24,11/2004
155,1,6,2,2004-12-29,2004,12,29,12/2004
156,1,6,2,2005-01-13,2005,1,13,1/2005
157,2,6,2,2005-01-27,2005,1,27,1/2005
161,1,6,2,2005-02-26,2005,2,26,2/2005
162,1,6,2,2005-03-04,2005,3,4,3/2005
164,1,6,2,2005-02-26,2005,2,26,2/2005
166,1,6,2,2005-04-06,2005,4,6,4/2005
167,1,6,2,2005-03-25,2005,3,25,3/2005
168,1,6,2,2005-02-14,2005,2,14,2/2005
169,1,6,2,2005-02-14,2005,2,14,2/2005
170,1,6,2,2005-03-23,2005,3,23,3/2005
171,1,6,2,2005-04-06,2005,4,6,4/2005
172,1,6,2,2005-04-06,2005,4,6,4/2005
173,1,6,2,2005-04-25,2005,4,25,4/2005
174,1,6,1,2005-04-18,2005,4,18,4/2005
175,1,6,1,2005-04-18,2005,4,18,4/2005
176,1,6,2,2005-03-25,2005,3,25,3/2005
178,1,6,2,2005-05-18,2005,5,18,5/2005
179,1,6,2,2005-06-07,2005,6,7,6/2005
180,1,6,2,2005-06-08,2005,6,8,6/2005
183,1,6,2,2005-06-01,2005,6,1,6/2005
184,1,6,2,2005-05-21,2005,5,21,5/2005
185,1,6,2,2005-05-25,2005,5,25,5/2005
186,1,6,2,2005-06-29,2005,6,29,6/2005
187,2,6,2,2005-07-01,2005,7,1,7/2005
188,1,1,1,2005-07-02,2005,7,2,7/2005
190,1,1,2,2005-06-09,2005,6,9,6/2005
191,1,1,1,2005-07-07,2005,7,7,7/2005
192,1,6,2,2005-06-30,2005,6,30,6/2005
193,1,6,2,2005-06-30,2005,6,30,6/2005
194,1,6,2,2005-06-30,2005,6,30,6/2005
195,1,6,2,2005-06-30,2005,6,30,6/2005
196,1,6,2,2005-07-18,2005,7,18,7/2005
199,1,13,2,2005-07-29,2005,7,29,7/2005
200,1,13,2,2005-07-29,2005,7,29,7/2005
201,1,1,2,2005-08-04,2005,8,4,8/2005
202,1,1,2,2005-08-04,2005,8,4,8/2005
203,1,1,2,2005-08-04,2005,8,4,8/2005
204,1,1,2,2005-08-04,2005,8,4,8/2005
205,1,1,2,2005-08-05,2005,8,5,8/2005
206,1,1,2,2005-08-05,2005,8,5,8/2005
207,1,1,2,2005-08-05,2005,8,5,8/2005
208,1,1,2,2005-08-05,2005,8,5,8/2005
210,1,1,2,2005-08-10,2005,8,10,8/2005
211,1,1,2,2005-08-10,2005,8,10,8/2005
212,1,1,2,2005-08-10,2005,8,10,8/2005
213,1,1,2,2005-08-10,2005,8,10,8/2005
214,1,1,2,2005-08-10,2005,8,10,8/2005
215,1,1,2,2005-08-10,2005,8,10,8/2005
216,1,1,2,2005-08-10,2005,8,10,8/2005
217,1,1,2,2005-08-16,2005,8,16,8/2005
218,1,1,2,2005-08-16,2005,8,16,8/2005
219,1,1,2,2005-08-16,2005,8,16,8/2005
220,1,1,2,2005-08-16,2005,8,16,8/2005
221,1,1,2,2005-08-16,2005,8,16,8/2005
222,1,1,2,2005-08-16,2005,8,16,8/2005
226,1,1,1,2005-08-23,2005,8,23,8/2005
227,1,1,2,2005-08-25,2005,8,25,8/2005
228,1,1,2,2005-08-25,2005,8,25,8/2005
229,1,1,2,2005-08-25,2005,8,25,8/2005
230,1,1,2,2005-08-25,2005,8,25,8/2005
231,1,1,2,2005-08-25,2005,8,25,8/2005
232,1,1,2,2005-08-25,2005,8,25,8/2005
233,1,1,2,2005-08-25,2005,8,25,8/2005
234,1,1,2,2005-08-25,2005,8,25,8/2005
235,1,1,2,2005-08-25,2005,8,25,8/2005
239,1,1,2,2005-08-31,2005,8,31,8/2005
240,1,1,2,2005-08-31,2005,8,31,8/2005
241,1,1,2,2005-08-31,2005,8,31,8/2005
242,1,1,2,2005-08-31,2005,8,31,8/2005
243,1,1,2,2005-08-31,2005,8,31,8/2005
244,1,1,2,2005-08-31,2005,8,31,8/2005
246,1,15,2,2005-09-08,2005,9,8,9/2005
247,1,15,2,2005-09-08,2005,9,8,9/2005
248,1,15,2,2005-09-10,2005,9,10,9/2005
249,1,15,2,2005-09-10,2005,9,10,9/2005
250,2,15,2,2005-09-10,2005,9,10,9/2005
251,1,1,2,2005-09-19,2005,9,19,9/2005
252,2,15,2,2005-09-20,2005,9,20,9/2005
253,1,15,2,2005-09-22,2005,9,22,9/2005
254,1,15,2,2005-09-22,2005,9,22,9/2005
255,1,15,2,2005-09-22,2005,9,22,9/2005
256,1,15,2,2005-09-22,2005,9,22,9/2005
257,1,15,2,2005-09-22,2005,9,22,9/2005
258,1,15,2,2005-09-22,2005,9,22,9/2005
259,1,15,2,2005-09-22,2005,9,22,9/2005
260,1,15,2,2005-09-22,2005,9,22,9/2005
261,1,15,2,2005-09-22,2005,9,22,9/2005
262,1,15,2,2005-09-24,2005,9,24,9/2005
263,1,15,2,2005-10-06,2005,10,6,10/2005
264,1,15,2,2005-10-06,2005,10,6,10/2005
265,1,15,2,2005-10-06,2005,10,6,10/2005
266,1,15,2,2005-10-06,2005,10,6,10/2005
269,1,1,2,2005-10-24,2005,10,24,10/2005
270,1,15,2,2005-10-29,2005,10,29,10/2005
271,1,15,2,2005-10-29,2005,10,29,10/2005
272,1,15,2,2005-10-29,2005,10,29,10/2005
273,1,15,2,2005-10-29,2005,10,29,10/2005
274,2,15,2,2005-10-31,2005,10,31,10/2005
279,1,15,2,2005-11-23,2005,11,23,11/2005
281,1,1,2,2005-11-29,2005,11,29,11/2005
282,2,1,3,2005-11-29,2005,11,29,11/2005
283,1,15,2,2005-12-07,2005,12,7,12/2005
284,1,15,2,2005-12-07,2005,12,7,12/2005
285,1,15,2,2006-01-11,2006,1,11,1/2006
286,1,15,2,2006-01-11,2006,1,11,1/2006
287,1,15,2,2006-01-11,2006,1,11,1/2006
288,1,15,2,2006-01-11,2006,1,11,1/2006
289,1,15,2,2006-01-20,2006,1,20,1/2006
290,1,15,2,2006-01-23,2006,1,23,1/2006
291,1,15,2,2006-01-23,2006,1,23,1/2006
292,1,15,2,2006-01-23,2006,1,23,1/2006
293,1,15,2,2006-01-23,2006,1,23,1/2006
294,1,15,1,2006-01-24,2006,1,24,1/2006
298,1,15,2,2006-02-13,2006,2,13,2/2006
299,1,15,2,2006-02-13,2006,2,13,2/2006
300,1,15,2,2006-02-13,2006,2,13,2/2006
301,1,15,2,2006-02-13,2006,2,13,2/2006
302,1,15,2,2006-02-13,2006,2,13,2/2006
303,1,15,2,2006-02-13,2006,2,13,2/2006
304,1,15,2,2006-02-14,2006,2,14,2/2006
305,1,15,2,2006-02-14,2006,2,14,2/2006
306,1,15,1,2006-02-20,2006,2,20,2/2006
307,1,15,2,2006-03-16,2006,3,16,3/2006
308,1,15,2,2006-03-16,2006,3,16,3/2006
309,1,15,2,2006-03-17,2006,3,17,3/2006
310,1,15,2,2006-03-20,2006,3,20,3/2006
311,1,15,2,2006-03-20,2006,3,20,3/2006
312,1,15,2,2006-03-20,2006,3,20,3/2006
313,1,15,2,2006-03-21,2006,3,21,3/2006
314,1,15,2,2006-03-22,2006,3,22,3/2006
315,1,1,2,2006-04-05,2006,4,5,4/2006
